Supplier,Spend_AUD,Treatment,NAICS,Factor_kgCO2e_per_USD2022,tCO2e,Basis
"EAST WEST FIRE SERVICES",390543,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CONSEP PTY LTD",367580,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BOC GASES-LIQUID OXY 100348942",366728,UNCLASSIFIED,—,0.000,0.0,"Liquid oxygen and compressed gas"
"A & O ENGINEERING GROUP P/L",359852,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ENZED CHARTERS TOWERS",358212,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TROPICAL WASTE SERVICES P/L",345520,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AUSTRALIAN  LABORATORY SERVI",338164,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"FLOWTECH SOLUTIONS AUSTRALIA",334050,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"PROFESSIONAL PUMP SERVICES & I",329244,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"M.WATERS ABRASIVE BLASTING SVC",328334,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"GLOBAL WATER GROUP P/L",320942,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"STANMORE RESOURCES LIMITED",320856,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"DEPT OF ENVIRONMENT & SCIENCE",320601,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ZENEX DRILLING LIMITED",318727,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ENVIRONMENTAL CONTROL SYSTEMS",316210,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CYBER CLOUD CONSULTING P/L",315468,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"JOBLIN PARTNERS PTY LTD",302356,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SHARK CONSTRUCTIONS &",300994,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"DO NOT USE - SEE BOW002",295312,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"W T TITLEY & CO",290746,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"COOPER FLUID SYSTEMS PTY LTD",283743,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"POWERLINES PLUS (QLD) PTY LTD",279651,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"FINLAY SCREENING & CRUSHING SY",277009,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"GALLIVANTER TRAVEL CORPORATE",266927,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
