Supplier,Spend_AUD,Treatment,NAICS,Factor_kgCO2e_per_USD2022,tCO2e,Basis
"RP DATA LTD",5818,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CARLSON SOFTWARE AUSTRALIA P/L",5785,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ICE MACHINES AUSTRALIA",5723,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"PIPWARE SOLUTIONS",5567,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MINDFIT AT WORK",5548,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ACCESS SOFTWARE AUSTRALIA P/L",5400,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ARDENT SECURITY",5376,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"OFF GRID DESIGN",5300,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CITY VENUE MANAGEMENT P/L",5180,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ALCOLIZER TECHNOLOGY",5163,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TECO AUSTRALIA PTY LTD-COD",5052,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"REFLEX INSTRUMENTS ASIAPAC P/L",5020,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BABY GIVE BACK LTD",5000,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"HUMMER NQ ATF HUMMER NQ TRUST",5000,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AIR CHANGE AUSTRALIA P/L",4980,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"THE RACK'N STACK WAREHOUSE",4979,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TRELLEBORG ENGINEERED PRODUCTS",4941,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"PARAGON CARE",4875,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CORE METALLURGY PTY LTD",4848,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AUSIMM",4793,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"S.C.F GROUP PTY LTD",4722,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"POWERCAD SOFTWARE P/L",4680,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BEND-TECH GROUP PTY LTD",4656,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"THERMO GAMMA-METRICS P/L",4602,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ENVIRONMENT ESSENTIALS",4600,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ENERGY SKILLS SOLUTIONS",4492,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"EYECARE PLUS OPTOMETRISTS",4485,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CQ WORKFIT",4351,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CML TRAINING PTY LTD",4340,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TURNER & TOWNSEND PTY LTD",4310,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"RADICAL TORQUE SOLUTIONS P/L",4182,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MAGNUMS CATERING",4180,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SULLIVAN NICOLAIDES PATHOLOGY",4062,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CALTEX - STARCARD",4011,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"NQ STEELSTOCKS PTY LTD",3985,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ACU-VIB ELECTRONICS",3980,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MINTAP SERVICES PRT LTD",3978,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CKC HAULAGE PTY LTD",3958,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"HNA GROUP PTY LTD",3910,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"I-MED QUEENSLAND PTY LTD",3717,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"JOEST AUSTRALIA P/L",3675,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SIGNET PTY LTD",3666,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"NORTON ROSE FULBRIGHT",3618,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"LIME MEDICOLEGAL",3520,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TARDISS INC",3500,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"PROCESS SYSTEMS PTY LTD",3480,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SCOTT AUTOMATION & ROB0TICS",3430,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"THOMSON ENVIRONMENTAL SYSTEMS",3410,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"PORTABLE ANALYTICAL SOLUTIONS",3400,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BURDEKIN SHIRE COUNCIL",3293,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"RACK INSPECT PTY LTD",3225,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"G & M WILKES",3217,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TOWNSVILLE LOCKSMITHS & HARDWA",3107,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"DEVONPORT CATTLE CO.",3075,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"EXTREME MARQUEES PTY LTD",3053,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"HEALTH COMMUNICATIONS NETWORK",3043,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SCIENCE ESSENTIALS(TPS IONODE)",3036,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"FIRST AID KITS AUSTRALIA",2987,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MCKAVANAGH ENGINEERING",2965,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MCCULLOUGH ROBERTSON LAWYERS",2942,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BELLCO LAW GROUP",2931,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"KG ENGINEERING P/L",2872,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"KIRKTON CATTLE COMPANY P/L",2850,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MEARS REFRACTORY CO PTY LTD",2720,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AZKEEN INDUSTRIES PTY LTD",2715,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"do not use - See POS002AUD",2679,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"PURPLE ENGINEERING PTY TLD",2639,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"GEOGRAPHE ENTERPRISES PTY LTD",2636,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"NQ HIGH SCHOOL CUP INC",2500,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CHARTERS TOWERS AMATEUR",2500,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CALYPSO COACHES",2491,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"THERMAL SYSTEMS P/L",2447,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"DR ANWAR BILAL",2430,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ARTCRAFT PTY LTD",2416,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SLGC PTY LTD",2400,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"JB'S DIESEL & MECHANICAL P/L",2360,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ANACONDA GROUP PTY LTD",2357,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"HOPPER STOPPERS PTY LTD",2337,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"EASY REACH CONCRETE PUMPING",2315,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AUSTRALIAN EQUIPMENT ENGINEER",2312,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ZETTAGRID PTY LTD",2307,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"IQ INDUSTRY QUEENSLAND",2255,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"QML PATHOLOGY",2252,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MR WJ CAGNIN",2212,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"VIRGINIA PARK STATION PTY LTD",2200,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TEC-NQ LIMITED",2177,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TPS P/L",2175,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"GG CHEST,SLEEP&GEN MEDICINE",2155,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"FUME & DUST CONTROL P/L",2150,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"THE CANDY WRAPPER",2125,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ESS ENGINEERING SERVICES & SUP",2100,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BDO TRADING PTY LTD",2029,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"QUALITY HOIST & HYDRAULIC SERV",2000,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ZONTA CLUB OF CHARTERS TOWERS",2000,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"GOLD CITY CUTTERS INC",2000,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"COHEN CONSTRUCTIONS P/L",1998,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BEEHIVE VINYL PRODUCTS P/L",1902,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"GOLD CITY MOTORCYCLES NQ P/L",1801,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ASIC",1789,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AGILENT TECHNOLOGIES AUST P/L",1749,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ECOCARE AUSTRALIA",1554,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TOWNSVILLESOFTBALL ASSOCIATION",1500,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TOWNSVILLE TIGER SHARKS",1500,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MARLBOROUGH ENG. AUST. P/L",1440,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"VINKE ENTERPRISES P/L",1434,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"THERMO FISHER SCIENTIFIC P/L",1424,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"RIDES N SLIDES TOWNSVILLE",1395,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"JAMES WALKER AUST PTY LTD",1376,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"RYDGES SOUTHBANK TOWNSVILLE",1375,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BURKERT AUSTRALIA  PTY LTD",1346,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"PLAN B CONSULTING (AUS)",1341,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TAFE QUEENSLAND NORTH",1280,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"NORM HYATT SAW SERVICES P/L",1263,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"NORBAR TORQUE TOOLS",1258,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ROC PRO SERVICES",1209,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AUSTRALIAN ENTOMOLOGICAL SUPPL",1190,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ADVANCED IRRIGATION SERVICES",1181,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"NEVERFAIL SPRINGWATER LTD",1169,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TECWEIGH PTY LTD",1095,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MICROGUARD PTY LTD",1066,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"INDEPENDENT MINERAL STANDARDS",1060,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"REPCO AUTO PARTS",1053,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SOUTH COAST RADIOLOGY",1045,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"M2M ONE P/L",1026,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"THURINGOWA BRASS BAND INC",1000,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"PHIL SAXBY'S REMOTE VEHICLE",1000,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ORE RESEARCH & EXPLORATION P/L",949,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"JEA TECHNOLOGIES P/L",868,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SAI GLOBAL",864,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"DO NOT USE - SEE SIT003AUD",845,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"EYECARE PLUS AYR",800,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AMCO INDUSTRIES",798,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"VISION INDUSTRIES PTY LTD",780,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"JJ'S WASTE & RECYCLING",767,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CWG INSULATION",760,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"NLS FLUID SOLUTIONS",717,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MENTAL HEALTH FIRST AID INTERN",664,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SULLIVANS MINING & INDUSTRIAL",663,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"PARCHEM CONSTRUCTION SUPPLIES",659,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SARTORIUS AUSTRALIA PTY LTD",655,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"THORPS BUILDING HERITAGE TEA",627,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"HOTEL GRAND CHANCELLOR T'VILLE",609,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SCIENCE 2 MEDICAL PTY LTD",555,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TOWNSVILLE ROAD RUNNERS INC",500,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ABLE SYSTEMS PTY LTD",500,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"PARASOL EMT PTY LTD",495,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"RAVENSWOOD RESTORATION&PRESERV",464,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"PIVOTEL SATELLITE P/L",451,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ALPHA VITAL PTY LTD",446,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"NQPT P/L",429,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CIRCUITLINK PTY LTD",425,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"KAWALIAP PTY LTD",385,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"QSCAN SERVICES PTY LTD",364,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"KATE KING T/A  K+O LANDSCAPE",360,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BERENDSEN FLUID POWER",345,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MARCEM AUSTRALIA  PTY LTD",312,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"DR NEIL BRETZ",300,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BLAKOE'S SANDBLASTING & PROTEC",300,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ICAM AUSTRALIA PTY LTD",295,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MAPUCCINO",282,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AUTOMOTIVE IMPORTS P/L",272,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"I-MED WESTERN AUSTRALIA P/L",240,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TRACPOWER NQ PTY LTD",235,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"REWARD SUPPLY CO. P/L",228,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"JONES RADIOLOGY",220,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ELECTRICAL SERVICES BRISBANE",215,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"OZRAM HYDRAULIC SERVICES",180,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"EJS CORP PTY LTD",172,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SC RADIOLOGY PTY LTD",136,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SHRED-X PTY LTD",100,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"HONEYCOMBE SALES AND SERVICE",91,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"M&Q EQUIPMENT PTY LTD",55,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SOUTH PACIFIC WELDING GROUP",0,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"JKTECH PTY LTD",-448,UNCLASSIFIED,—,0.000,-0.0,"Not in the top-tier register"
"ALETEK PTY LTD",-2887,UNCLASSIFIED,—,0.000,-0.0,"Not in the top-tier register"
