Date,Activity,SubActivity,Description,Department,CostCentre,State,UOM,Quantity,Source,Identifier
1/1/2022,Combustion,Greases,Grease Gadus S2 V220 2 IBC-K Red Rocket 1000kg,Mining Open Pit,Projects and Work Orders,QLD,kL,3.0,INV03,126311
1/1/2022,Combustion,Greases,Grease Gadus S3 EP2 450g cartridge,Mining Open Pit,Projects and Work Orders,QLD,kL,0.027,INV03,101578
1/1/2022,Combustion,Greases,Grease Gadus S3 V460D 2 450g cartridge,Mining Open Pit,Projects and Work Orders,QLD,kL,0.0162,INV03,103568
1/1/2022,Combustion,Greases,Grease Gadus S3 V460DM 2 180kg,Mining Open Pit,Projects and Work Orders,QLD,kL,0.8,INV03,123620
1/1/2022,Combustion,Greases,Grease premium heavy duty NLGI 2 20kg tub,Mining Open Pit,Projects and Work Orders,QLD,kL,0.04,INV03,131278
1/1/2022,Combustion,Greases,Grease special purpose rubber products 500g tub,Mining Open Pit,Projects and Work Orders,QLD,kL,0.001,INV03,101472
1/1/2022,Combustion,Lubricants,Hydraulic oil HN46 Hitachi IBC 1000L,Mining Open Pit,Projects and Work Orders,QLD,kL,9.0,INV03,126696
1/1/2022,Combustion,Lubricants,Hydraulic oil Spirax S4 CX30 IBC,Mining Open Pit,Projects and Work Orders,QLD,kL,5.0,INV03,125456
1/1/2022,Combustion,Lubricants,Hydraulic oil Spirax S4 CX50 1000L,Mining Open Pit,Projects and Work Orders,QLD,kL,5.0,INV03,122926
1/1/2022,Combustion,Lubricants,Hydraulic oil Spirax S4 CX60 1000L IBC,Mining Open Pit,Projects and Work Orders,QLD,kL,3.0,INV03,122929
1/1/2022,Combustion,Lubricants,Hydraulic oil Tellus 68 S2 VX 68/D 209L,Mining Open Pit,Projects and Work Orders,QLD,kL,0.209,INV03,103552
1/1/2022,Combustion,Lubricants,Hydraulic oil Tellus S2 VX 46 1000L IBC,Mining Open Pit,Projects and Work Orders,QLD,kL,1.0,INV03,124972
1/1/2022,Combustion,Lubricants,Hydraulic oil Turbo T 46 209L IBC,Mining Open Pit,Projects and Work Orders,QLD,kL,0.209,INV03,101609
1/1/2022,Combustion,Lubricants,Lubricant tyre and rim mounting paste 5kg,Mining Open Pit,Projects and Work Orders,QLD,kL,0.02,INV03,103929
1/1/2022,Combustion,Lubricants,Tyre conditioner Sealzit Rim Guard 1000L Pod,Mining Open Pit,Projects and Work Orders,QLD,kL,1.0,INV03,122962
1/1/2022,Combustion,Nitrogen,Nitrogen code 032 dry size D,Mining Open Pit,Projects and Work Orders,QLD,m3,1.6,INV03,122551
1/1/2022,Combustion,Nitrogen,Nitrogen gas code 032 size E,Mining Open Pit,Projects and Work Orders,QLD,m3,14.8,INV03,120312
1/1/2022,Combustion,Nitrogen,Nitrogen industrial size G 7.0m3,Mining Open Pit,Projects and Work Orders,QLD,m3,14.0,INV03,100193
1/1/2022,Combustion,Oxygen,Oxygen industrial size D 1.6m3,Mining Open Pit,Projects and Work Orders,QLD,m3,1.6,INV03,100213
1/1/2022,Combustion,Oxygen,Oxygen industrial size E 4.1m3,Mining Open Pit,Projects and Work Orders,QLD,m3,20.5,INV03,100700
1/1/2022,Combustion,Oxygen,Oxygen industrial size G 8.9m3,Mining Open Pit,Projects and Work Orders,QLD,m3,71.2,INV03,100191
1/1/2022,Combustion,Oxygen,Oxygen liquid bulk,Processing,Leach & Adsorption,QLD,m3,40099.35,INV03,103207
1/1/2022,Combustion,Welding Gas,Argon ultra high purity size G2,Mining Open Pit,Projects and Work Orders,QLD,m3,11.9,INV03,104090
1/1/2022,Combustion,Welding Gas,Argoshield 52 size G2 11.9m3,Maintenance,Loading,QLD,m3,11.9,INV03,140158
1/1/2022,Combustion,Welding Gas,Argoshield 52 size G2 11.9m3,Mining Open Pit,Projects and Work Orders,QLD,m3,71.4,INV03,140158
1/1/2022,Reagent,Acid,Hydrochloric acid min 32% strength bulk,Processing,Gold Room,QLD,t,3.9,INV03,103203
1/1/2022,Reagent,Antiscalant,Antiscalant Proflow liquid WTS 4-103 1050kg IBC,Mining Open Pit,Projects and Work Orders,QLD,t,8.4,INV03,124951
1/1/2022,Reagent,Caustic Soda,Sodium hydroxide caustic bulk liquid NaOH,Processing,Gold Room,QLD,t,17.08,INV03,103205
1/1/2022,Reagent,Cyanide,Sodium cyanide reagent liquor 30-33% bulk,Processing,Leach & Adsorption,QLD,t,175.056,INV03,103430
1/1/2022,Reagent,Degreaser,Degreaser Mineclean Castrol 1000L IBC,Mining Open Pit,Projects and Work Orders,QLD,kL,1.0,INV03,121366
1/1/2022,Reagent,Flocculant,Flocculant mineral process Posifloc AN923SH powder 25kg bag,Processing,Tailings Disposal,QLD,t,0.175,INV03,100975
1/1/2022,Reagent,Flocculant,Flocculant water treatment WTS 8-9910N 15kg bags,Mining Open Pit,Projects and Work Orders,QLD,t,0.015,INV03,100977
1/1/2022,Reagent,Leach Aid,Leach Well GC bucket 10kg,Mining Open Pit,Projects and Work Orders,QLD,t,0.1,INV03,104219
1/1/2022,Reagent,Lime,Lime unslaked quicklime bulk delivery,Processing,Leach & Adsorption,QLD,t,727.8,INV03,101673
1/1/2022,Reagent,Soda Ash,Sodium carbonate dense soda ash 25kg bag,Mining Open Pit,Projects and Work Orders,QLD,t,0.05,INV03,101492
1/1/2022,Reagent,Sodium Chlorite,Sodium chlorite 31% 200L 250kg,Mining Open Pit,Projects and Work Orders,QLD,t,0.75,INV03,104164
1/1/2022,Reagent,Sodium Hypochlorite,Sodium hypochlorite solution chlorine 10%,Mining Open Pit,Projects and Work Orders,QLD,kL,0.003,INV03,104165
1/1/2022,Wear Item,Grinding Media,Ball grinding 65mm dia 1% carbon,Processing,Milling,QLD,t,22.0,INV03,103202
1/1/2022,Wear Item,Grinding Media,Ball grinding 80mm dia 1% carbon,Processing,Milling,QLD,t,62.033,INV03,100037
1/1/2022,Wear Item,Grinding Media,Ball grinding 94mm dia MC60,Processing,Milling,QLD,t,21.0,INV03,100557
1/1/2022,Wear Item,Grinding Media,Ball grinding 94mm dia XTH,Processing,Milling,QLD,t,190.042,INV03,127302
1/1/2022,Wear Item,Tyres,Tyre 23.5R25 Maxam MS501 L5 2 star,Mining Open Pit,Projects and Work Orders,QLD,Each,2.0,INV03,126057
1/1/2022,Wear Item,Tyres,Tyre 29.5R25 Bridgestone 2 star VSNT D2A,Mining Open Pit,Projects and Work Orders,QLD,Each,4.0,INV03,126060
1/1/2022,Wear Item,Tyres,Tyre 37.00R57 Maxam MS403 E4 2 star suit Cat 789,Mining Open Pit,Projects and Work Orders,QLD,Each,6.0,INV03,126055
1/1/2022,Wear Item,Tyres,Tyre 40.00R57 Maxam MS403 E4 2 star,Mining Open Pit,Projects and Work Orders,QLD,Each,10.0,INV03,126054
1/1/2023,Combustion,Acetylene,Acetylene industrial size G 7.0m3,Mining Open Pit,Projects and Work Orders,QLD,m3,21.0,INV03,100192
1/1/2023,Combustion,Acetylene,Acetylene technical grade 99% size G,Mining Open Pit,Projects and Work Orders,QLD,m3,21.0,INV03,102260
1/1/2023,Combustion,Diesel,Diesel fuel bulk,Commercial & Administration,Light Vehicles,QLD,kL,32.3644,INV03,103206
1/1/2023,Combustion,Diesel,Diesel fuel bulk,Commercial & Administration,Operations Administration,QLD,kL,0.6077,INV03,103206
1/1/2023,Combustion,Diesel,Diesel fuel bulk,Exploration & Development,Exploration and Development,QLD,kL,4.8717,INV03,103206
1/1/2023,Combustion,Diesel,Diesel fuel bulk,Mining Geology,Grade Control,QLD,kL,22.5415,INV03,103206
1/1/2023,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Blasting,QLD,kL,3.4522,INV03,103206
1/1/2023,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Drilling - Production,QLD,kL,128.7535,INV03,103206
1/1/2023,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Geotechnical,QLD,kL,15.0746,INV03,103206
1/1/2023,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Hauling,QLD,kL,1032.8866,INV03,103206
1/1/2023,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Loading,QLD,kL,394.3365,INV03,103206
1/1/2023,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Mobile Equipment,QLD,kL,43.2731,INV03,103206
1/1/2023,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Projects and Work Orders,QLD,kL,165.2239,INV03,103206
1/1/2023,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Rehandling,QLD,kL,149.338,INV03,103206
1/1/2023,Combustion,Diesel,Diesel fuel bulk,Processing,Crushing - Fixed,QLD,kL,16.5943,INV03,103206
1/1/2023,Combustion,Diesel,Diesel fuel bulk,Processing,Crushing - Supplemental,QLD,kL,69.53,INV03,103206
1/1/2023,Combustion,Diesel,Diesel fuel bulk,Processing,Site Power Generation,QLD,kL,83.579,INV03,103206
1/1/2023,Combustion,LPG,Propane Handigas Q size 18kg,Mining Open Pit,Projects and Work Orders,QLD,kL,0.0706,INV03,103071
1/1/2023,Combustion,LPG,Propane LPG bulk delivery,Mining Open Pit,Projects and Work Orders,QLD,kL,0.6643,INV03,103570
1/1/2023,Combustion,LPG,Propane LPG bulk delivery,Processing,Gold Room,QLD,kL,25.8365,INV03,103570
1/1/2023,Combustion,Lubricants,Coolant antifreeze HD Premium N Cool 1000L,Mining Open Pit,Projects and Work Orders,QLD,kL,2.0,INV03,120407
1/1/2023,Combustion,Lubricants,Engine oil Helix Ultra 5W-40 5L,Mining Open Pit,Projects and Work Orders,QLD,kL,0.02,INV03,102911
1/1/2023,Combustion,Lubricants,Engine oil Rimula R4 MV 15W40 1000L IBC,Mining Open Pit,Projects and Work Orders,QLD,kL,12.0,INV03,124779
1/1/2023,Combustion,Lubricants,Gear oil 90W GL4 200L drum Hitachi,Mining Open Pit,Projects and Work Orders,QLD,kL,3.0,INV03,128162
1/1/2023,Combustion,Lubricants,Gear oil Omala S2 GX 150 IBC 1000L,Mining Open Pit,Projects and Work Orders,QLD,kL,3.0,INV03,127921
1/1/2023,Combustion,Lubricants,Gear oil Omala S2 GX 220 20L,Mining Open Pit,Projects and Work Orders,QLD,kL,0.02,INV03,101607
1/1/2023,Combustion,Lubricants,Gear oil Omala S4 GX 220 20L,Mining Open Pit,Projects and Work Orders,QLD,kL,0.2,INV03,101605
1/1/2023,Combustion,Lubricants,Gear oil Omala S4 GXV Plus 320 20L,Mining Open Pit,Projects and Work Orders,QLD,kL,0.06,INV03,100330
1/1/2023,Combustion,Lubricants,Gear oil Spirax S4 AX 80W-90 209L,Maintenance,Hauling,QLD,kL,0.627,INV03,126312
1/1/2023,Combustion,Lubricants,Gear oil Spirax S4 AX 80W-90 209L,Mining Open Pit,Projects and Work Orders,QLD,kL,0.836,INV03,126312
1/1/2023,Combustion,Greases,Grease Gadus S2 V100 3 450g cartridge,Mining Open Pit,Projects and Work Orders,QLD,kL,0.0095,INV03,101581
1/1/2023,Combustion,Greases,Grease Gadus S2 V220 2 C2 450g,Mining Open Pit,Projects and Work Orders,QLD,kL,0.0018,INV03,101580
1/1/2023,Combustion,Greases,Grease Gadus S2 V220 2 D180K,Mining Open Pit,Projects and Work Orders,QLD,kL,1.8,INV03,100004
1/1/2023,Combustion,Greases,Grease Gadus S2 V220 2 IBC-K Red Rocket 1000kg,Mining Open Pit,Projects and Work Orders,QLD,kL,2.0,INV03,126311
1/1/2023,Combustion,Greases,Grease Gadus S3 EP2 450g cartridge,Mining Open Pit,Projects and Work Orders,QLD,kL,0.0481,INV03,101578
1/1/2023,Combustion,Greases,Grease Gadus S3 V460D 2 450g cartridge,Mining Open Pit,Projects and Work Orders,QLD,kL,0.0108,INV03,103568
1/1/2023,Combustion,Greases,Grease Gadus S3 V460DM 2 180kg,Mining Open Pit,Projects and Work Orders,QLD,kL,0.4,INV03,123620
1/1/2023,Combustion,Greases,Grease coupling long term Falk 15.8kg bucket,Mining Open Pit,Projects and Work Orders,QLD,kL,0.0158,INV03,133120
1/1/2023,Combustion,Greases,Grease exposed gear Gadus S4 OGFP IBC-K Red Rocket,Mining Open Pit,Projects and Work Orders,QLD,kL,1.0,INV03,900351
1/1/2023,Combustion,Greases,Grease special purpose rubber products 500g tub,Mining Open Pit,Projects and Work Orders,QLD,kL,0.003,INV03,101472
1/1/2023,Combustion,Lubricants,Hydraulic oil HN46 Hitachi IBC 1000L,Mining Open Pit,Projects and Work Orders,QLD,kL,3.0,INV03,126696
1/1/2023,Combustion,Lubricants,Hydraulic oil Spirax S4 CX30 IBC,Mining Open Pit,Projects and Work Orders,QLD,kL,3.0,INV03,125456
1/1/2023,Combustion,Lubricants,Hydraulic oil Spirax S4 CX60 1000L IBC,Mining Open Pit,Projects and Work Orders,QLD,kL,2.0,INV03,122929
1/1/2023,Combustion,Lubricants,Hydraulic oil Tellus 68 S2 VX 68/D 209L,Mining Open Pit,Projects and Work Orders,QLD,kL,0.209,INV03,103552
1/1/2023,Combustion,Lubricants,Hydraulic oil Tellus S2 VX 68 1000L IBC,Mining Open Pit,Projects and Work Orders,QLD,kL,2.0,INV03,122716
1/1/2023,Combustion,Lubricants,Lubricant tyre and rim mounting paste 5kg,Mining Open Pit,Projects and Work Orders,QLD,kL,0.015,INV03,103929
1/1/2023,Combustion,Lubricants,Refill cartridge Gadus 250cc Vario Perma Star,Mining Open Pit,Projects and Work Orders,QLD,kL,0.0013,INV03,104142
1/1/2023,Combustion,Nitrogen,Nitrogen code 032 dry size D,Mining Open Pit,Projects and Work Orders,QLD,m3,3.2,INV03,122551
1/1/2023,Combustion,Nitrogen,Nitrogen gas code 032 size E,Mining Open Pit,Projects and Work Orders,QLD,m3,7.4,INV03,120312
1/1/2023,Combustion,Oxygen,Oxygen industrial size E 4.1m3,Mining Open Pit,Projects and Work Orders,QLD,m3,20.5,INV03,100700
1/1/2023,Combustion,Oxygen,Oxygen industrial size G 8.9m3,Mining Open Pit,Projects and Work Orders,QLD,m3,124.6,INV03,100191
1/1/2023,Combustion,Oxygen,Oxygen liquid bulk,Processing,Leach & Adsorption,QLD,m3,82652.8,INV03,103207
1/1/2023,Combustion,Welding Gas,Argon ultra high purity size G2,Mining Open Pit,Projects and Work Orders,QLD,m3,11.9,INV03,104090
1/1/2023,Combustion,Welding Gas,Argoshield 52 size G2 11.9m3,Mining Open Pit,Projects and Work Orders,QLD,m3,47.6,INV03,140158
1/1/2023,Reagent,Acid,Hydrochloric acid min 32% strength bulk,Processing,Gold Room,QLD,t,19.2,INV03,103203
1/1/2023,Reagent,Antiscalant,Antiscalant Proflow liquid WTS 4-103 1050kg IBC,Mining Open Pit,Projects and Work Orders,QLD,t,4.2,INV03,124951
1/1/2023,Reagent,Carbon,Carbon activated YAO 60 ASTM 6/12 grade 500kg bag,Processing,Leach & Adsorption,QLD,t,10.0,INV03,103200
1/1/2023,Reagent,Caustic Soda,Sodium hydroxide caustic bulk liquid NaOH,Processing,Gold Room,QLD,t,36.51,INV03,103205
1/1/2023,Reagent,Caustic Soda,Sodium hydroxide solution 50% caustic IBC 1540kg,Mining Open Pit,Projects and Work Orders,QLD,t,1.54,INV03,122470
1/1/2023,Reagent,Cyanide,Sodium cyanide reagent liquor 30-33% bulk,Mining Open Pit,Projects and Work Orders,QLD,t,288.4176,INV03,103430
1/1/2023,Reagent,Cyanide,Sodium cyanide reagent liquor 30-33% bulk,Processing,Leach & Adsorption,QLD,t,194.563,INV03,103430
1/1/2023,Reagent,Flocculant,Flocculant mineral process Posifloc AN923SH powder 25kg bag,Processing,Tailings Disposal,QLD,t,0.25,INV03,100975
1/1/2023,Reagent,Leach Aid,Leach Well GC bucket 10kg,Mining Open Pit,Projects and Work Orders,QLD,t,0.06,INV03,104219
1/1/2023,Reagent,Lime,Lime unslaked quicklime bulk delivery,Mining Open Pit,Projects and Work Orders,QLD,t,1.36,INV03,101673
1/1/2023,Reagent,Lime,Lime unslaked quicklime bulk delivery,Processing,Leach & Adsorption,QLD,t,334.85,INV03,101673
1/1/2023,Reagent,Soda Ash,Sodium carbonate dense soda ash 25kg bag,Mining Open Pit,Projects and Work Orders,QLD,t,0.025,INV03,101492
1/1/2023,Reagent,Soda Ash,Sodium carbonate dense soda ash 25kg bag,Processing,Gold Room,QLD,t,0.05,INV03,101492
1/1/2023,Wear Item,Grinding Media,Ball grinding 65mm dia 1% carbon,Processing,Milling,QLD,t,66.51,INV03,103202
1/1/2023,Wear Item,Grinding Media,Ball grinding 80mm dia 1% carbon,Processing,Milling,QLD,t,76.77,INV03,100037
1/1/2023,Wear Item,Grinding Media,Ball grinding 94mm dia MC60,Processing,Milling,QLD,t,219.17,INV03,100557
1/1/2023,Wear Item,Tyres,Tyre 24.00R35 Maxam 2 star MS402 E4,Mining Open Pit,Projects and Work Orders,QLD,Each,4.0,INV03,126059
1/1/2023,Wear Item,Tyres,Tyre 37.00R57 Maxam MS403 E4 2 star suit Cat 789,Mining Open Pit,Projects and Work Orders,QLD,Each,2.0,INV03,126055
1/1/2023,Wear Item,Tyres,Tyre 40.00R57 Goodyear RM4B E4 2 star,Maintenance,Hauling,QLD,Each,2.0,INV03,126143
1/1/2023,Wear Item,Tyres,Tyre 40.00R57 Goodyear RM4B E4 2 star,Mining Open Pit,Projects and Work Orders,QLD,Each,6.0,INV03,126143
1/1/2023,Wear Item,Tyres,Tyre 40.00R57 Maxam MS403 E4 2 star,Maintenance,Hauling,QLD,Each,6.0,INV03,126054
1/1/2023,Wear Item,Tyres,Tyre 40.00R57 Maxam MS403 E4 2 star,Mining Open Pit,Projects and Work Orders,QLD,Each,8.0,INV03,126054
1/1/2023,Wear Item,Tyres,Tyre 45/65R45 Bridgestone 2 star VSDL D2A,Mining Open Pit,Projects and Work Orders,QLD,Each,4.0,INV03,126061
1/1/2024,Combustion,Acetylene,Acetylene industrial size G 7.0m3,Mining Open Pit,Projects and Work Orders,QLD,m3,49.0,INV03,100192
1/1/2024,Combustion,Diesel,Diesel fuel bulk,Commercial & Administration,Light Vehicles,QLD,kL,22.7732,INV03,103206
1/1/2024,Combustion,Diesel,Diesel fuel bulk,Commercial & Administration,Operations Administration,QLD,kL,0.7535,INV03,103206
1/1/2024,Combustion,Diesel,Diesel fuel bulk,Environment & Community,Environment,QLD,kL,0.1769,INV03,103206
1/1/2024,Combustion,Diesel,Diesel fuel bulk,Exploration & Development,Exploration and Development,QLD,kL,2.0087,INV03,103206
1/1/2024,Combustion,Diesel,Diesel fuel bulk,Mining Geology,Grade Control,QLD,kL,28.3466,INV03,103206
1/1/2024,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Blasting,QLD,kL,7.2447,INV03,103206
1/1/2024,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Drilling - Production,QLD,kL,152.6507,INV03,103206
1/1/2024,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Geotechnical,QLD,kL,6.7799,INV03,103206
1/1/2024,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Hauling,QLD,kL,847.3637,INV03,103206
1/1/2024,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Loading,QLD,kL,314.7005,INV03,103206
1/1/2024,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Mobile Equipment,QLD,kL,168.2406,INV03,103206
1/1/2024,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Projects and Work Orders,QLD,kL,194.7574,INV03,103206
1/1/2024,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Rehandling,QLD,kL,247.0863,INV03,103206
1/1/2024,Combustion,Diesel,Diesel fuel bulk,Processing,Crushing - Fixed,QLD,kL,1.2625,INV03,103206
1/1/2024,Combustion,Diesel,Diesel fuel bulk,Processing,Crushing - Supplemental,QLD,kL,0.1236,INV03,103206
1/1/2024,Combustion,Diesel,Diesel fuel bulk,Processing,Management Services,QLD,kL,5.0188,INV03,103206
1/1/2024,Combustion,Diesel,Diesel fuel bulk,Processing,Nolans South Crusher,QLD,kL,59.7817,INV03,103206
1/1/2024,Combustion,Diesel,Diesel fuel bulk,Processing,Site Power Generation,QLD,kL,1997.0179,INV03,103206
1/1/2024,Combustion,LPG,Propane Handigas 45kg,Mining Open Pit,Projects and Work Orders,QLD,kL,0.3529,INV03,121352
1/1/2024,Combustion,LPG,Propane Handigas Q size 18kg,Mining Open Pit,Projects and Work Orders,QLD,kL,0.0706,INV03,103071
1/1/2024,Combustion,LPG,Propane LPG bulk delivery,Processing,Gold Room,QLD,kL,59.1351,INV03,103570
1/1/2024,Combustion,Lubricants,Coolant antifreeze HD Premium N Cool 1000L,Mining Open Pit,Projects and Work Orders,QLD,kL,1.0,INV03,120407
1/1/2024,Combustion,Lubricants,Engine oil Rimula R4 MV 15W40 1000L IBC,Mining Open Pit,Projects and Work Orders,QLD,kL,16.0,INV03,124779
1/1/2024,Combustion,Lubricants,Fluid suspension Neocon strut 25L,Mining Open Pit,Projects and Work Orders,QLD,kL,0.025,INV03,126450
1/1/2024,Combustion,Lubricants,Gear oil Omala S2 G 220 IBC 1000L,Mining Open Pit,Projects and Work Orders,QLD,kL,1.0,INV03,103652
1/1/2024,Combustion,Lubricants,Gear oil Omala S2 GX 150 IBC 1000L,Mining Open Pit,Projects and Work Orders,QLD,kL,5.0,INV03,127921
1/1/2024,Combustion,Lubricants,Gear oil Omala S2 GX 320 950L IBC,Mining Open Pit,Projects and Work Orders,QLD,kL,4.75,INV03,100379
1/1/2024,Combustion,Lubricants,Gear oil Omala S4 GX 220 20L,Mining Open Pit,Projects and Work Orders,QLD,kL,0.02,INV03,101605
1/1/2024,Combustion,Lubricants,Gear oil Omala S4 GXV Plus 320 20L,Mining Open Pit,Projects and Work Orders,QLD,kL,0.42,INV03,100330
1/1/2024,Combustion,Lubricants,Gear oil Omala S4 Wheel 680 208L,Mining Open Pit,Projects and Work Orders,QLD,kL,0.208,INV03,101307
1/1/2024,Combustion,Lubricants,Gear oil Spirax S2 A 85W-140 1000L Pod,Mining Open Pit,Projects and Work Orders,QLD,kL,1.0,INV03,120270
1/1/2024,Combustion,Greases,Grease Gadus S2 OG 80 190kg suit Mill 4,Mining Open Pit,Projects and Work Orders,QLD,kL,2.0,INV03,136120
1/1/2024,Combustion,Greases,Grease Gadus S2 V100 3 450g cartridge,Mining Open Pit,Projects and Work Orders,QLD,kL,0.0004,INV03,101581
1/1/2024,Combustion,Greases,Grease Gadus S2 V220 2 C2 450g,Mining Open Pit,Projects and Work Orders,QLD,kL,0.0135,INV03,101580
1/1/2024,Combustion,Greases,Grease Gadus S2 V220 2 IBC-K Red Rocket 1000kg,Mining Open Pit,Projects and Work Orders,QLD,kL,4.0,INV03,126311
1/1/2024,Combustion,Greases,Grease Gadus S3 EP2 450g cartridge,Mining Open Pit,Projects and Work Orders,QLD,kL,0.0148,INV03,101578
